acid,acid_t,cif_id,foracid,foracid_t,pan,acct_num,acct_name
N96842220,AC20078163,DLNIND3263104,2395751592493001,FA7930739808974703,PAN924788908,307398089747,Prasanga Bishal Neupane
B49280440,AC35928701,DLNLEG6576494,1144459092002069,FA7474483400900345,PAN813377590,744834009003,
T67865853,AC11073947,DLNLEG6576494,2964459092002052,FA2664662664400159,PAN813377590,646626644001,
B59280455,AC29617643,DLNLEG6576494,1154459092002070,FA2085715034118759,PAN813377590,857150341187,
349280523,AC40401300,DLNLEG6576494,0344459092002076,FA6331816547052275,PAN813377590,318165470522,
02559106,AC38803203,DLNLEG3286748,0241103112524006,FA4669391728784622,PAN903432729,693917287846,
829280476,AC19565893,DLNLEG6576494,0824459092002071,FA8314657844563731,PAN813377590,146578445637,
519280478,AC75632841,DLNLEG6576494,0514459092002072,FA1033345099266430,PAN813377590,333450992664,
749280483,AC24147667,DLNLEG6576494,0744459092002073,FA8119659000961997,PAN813377590,196590009619,
049280493,AC88509103,DLNLEG6576494,0044459092002075,FA1694051307041110,PAN813377590,940513070411,
291488787,AC26364392,DLNIND3732980,2969977110524001,FA2948815257902016,PAN683139342,488152579020,Sakhil Krishna Lama
216778311,AC59002980,DLNIND4568821,0215751562055001,FA7577567600221814,PAN714271279,775676002218,Duman Narayan Neupane
V88032472,AC97737515,DLNIND3257367,3185752275983001,FA7282864804356016,PAN727567807,828648043560,Aavaas Ram Adhikari
2610407402,AC12002474,DLNIND1255130,026FF16519712191,FA3490943421520608,PAN331700070,909434215206,Adarsh Bhakta Lama
5410191638,AC45655716,DLNIND5576304,054FFN1082803086,FA2497356325397065,PAN747150056,973563253970,Lucy Laxmi Regmi
5410420431,AC93394376,DLNIND5576304,054FFN1082803094,FA1724294588536202,PAN747150056,242945885362,Lucy Laxmi Regmi
01238069,AC90312813,DLNIND5576304,0114082803524001,FA2906806183611612,PAN747150056,068061836116,Lucy Laxmi Regmi
W66734094,AC60711625,DLNLEG3194194,3264451499113003,FA5696936326962284,PAN114592430,969363269622,
W66675429,AC67694319,DLNLEG3194194,3264151499113002,FA1456048951351944,PAN114592430,560489513519,
22562003,AC54231965,DLNLEG3727146,2240133142524006,FA1256161460023772,PAN484574196,561614600237,BIRATNAGAR AUTOMOBILES PVT. LTD.
056114800,AC47937992,DLNLEG3169101,0054157501498006,FA3278739873001156,PAN944763272,787398730011,
056350013,AC19204807,DLNLEG3169101,0054457501498007,FA5261363760465433,PAN944763272,613637604654,
083925735,AC78639780,DLNLEG1805667,0841827246052401,FA4748279358343888,PAN629114031,482793583438,SAGARMATHA CLOTHING PVT. LTD.
08301975,AC72445976,DLNLEG1805667,0818272460524001,FA2932557360230616,PAN629114031,325573602306,SAGARMATHA CLOTHING PVT. LTD.
W27041708,AC73947144,DLNLEG3194194,3224451499113005,FA6960893976405332,PAN114592430,608939764053,
W27036017,AC54792105,DLNLEG3194194,3224151499113004,FA1945516966733947,PAN114592430,455169667339,
02264368,AC50755170,DLNLEG5063780,0219240201524001,FA5809106809503348,PAN642854936,091068095033,
02559220,AC73089441,DLNLEG5063780,0241240201524004,FA6552847506759018,PAN642854936,528475067590,
Q04054425,AC12730210,DLNLEG5919852,Q044000444252403,FA6348105713885520,PAN723809886,481057138855,SUNSARI VENTURES LTD.
Q04048409,AC36777136,DLNLEG5919852,Q041000444252402,FA4639328509056038,PAN723809886,393285090560,SUNSARI VENTURES LTD.
Q38161552,AC75913182,DLNLEG3169101,2634457501498010,FA7828064375123164,PAN944763272,280643751231,
Q36577877,AC45528709,DLNLEG3169101,2634157501498008,FA2534808628297082,PAN944763272,348086282970,
36534305,AC91493035,DLNLEG6576494,3619092002524012,FA3686065403346037,PAN813377590,860654033460,
341343392,AC41095541,DLNLEG8980703,3444384006524004,FA9624623246700202,PAN922795324,246232467002,
341342857,AC98470977,DLNLEG8980703,3441384006524003,FA6425349473399410,PAN922795324,253494733994,
V710191958,AC86235056,DLNIND1138256,317TD50264434030,FA1712288551598786,PAN372339539,122885515987,Kalyan Gopal Maharjan
394192932,AC31691209,DLNIND1138256,3902026443452401,FA8047007950416641,PAN372339539,470079504166,Kalyan Gopal Maharjan
153396015,AC66082694,DLNIND9898224,1541518981452401,FA6002595905733647,PAN376421978,025959057336,Srista Laxmi Khadka
09328955,AC38603772,DLNLEG1189719,0919128392524001,FA2613436596856555,PAN240743444,134365968565,
09330226,AC17441344,DLNLEG6576494,0919092002524006,FA8824973271610100,PAN813377590,249732716101,
09560185,AC55917569,DLNLEG6576494,0941092002524025,FA9551005534964770,PAN813377590,510055349647,
09334088,AC58583755,DLNLEG1189719,0920128392524002,FA8261266616220391,PAN240743444,612666162203,
092779850,AC92148365,DLNLEG1189719,0941912839252401,FA9842391073592931,PAN240743444,423910735929,
31433794,AC24509845,DLNLEG6576494,3119092002524009,FA6834206800838764,PAN813377590,342068008387,
31566047,AC65446525,DLNLEG6576494,3141092002524026,FA5690149914676401,PAN813377590,901499146764,
V66212764,AC92623617,DLNLEG5047780,3164150012403006,FA3309651693765335,PAN321629576,096516937653,
V69453662,AC13721685,DLNLEG5047780,3164450012403007,FA4408258435264217,PAN321629576,082584352642,
O68097412,AC82457623,DLNLEG9444528,2464450000865007,FA8106950654608189,PAN558406246,069506546081,
O67999344,AC11452098,DLNLEG9444528,2464150000865005,FA6655309729507991,PAN558406246,553097295079,
572222553,AC38972260,DLNLEG3169101,5744501498524003,FA9744800647103878,PAN944763272,448006471038,
572216892,AC94763418,DLNLEG3169101,5741501498524001,FA3316077813703581,PAN944763272,160778137035,
661125681,AC38939718,DLNIND7426436,6661368828524001,FA3173228279080910,PAN849149601,732282790809,Shirish Shankar Timalsina
P34494513,AC51776235,DLNLEG5047780,P341001240352402,FA5875266364202691,PAN321629576,752663642026,
P34501054,AC19149472,DLNLEG5047780,P344001240352403,FA7343486278154632,PAN321629576,434862781546,
K33846644,AC63125167,DLNLEG9444528,K341000086552402,FA2247983656268286,PAN558406246,479836562682,
K33850402,AC48310147,DLNLEG9444528,K344000086552403,FA3598099171962374,PAN558406246,980991719623,
K45753075,AC32499146,DLNLEG5047780,2044150012403004,FA2130341539137228,PAN321629576,303415391372,
K45810823,AC65986520,DLNLEG5047780,2044450012403005,FA4688637514575527,PAN321629576,886375145755,
19110702,AC18674572,DLNLEG5738561,19CA041342NPR001,FA1925836417035614,PAN183074119,258364170356,
19110737,AC39898161,DLNLEG5738561,19CL041342NPR002,FA5833758352805276,PAN183074119,337583528052,
205829351,AC48004481,DLNLEG5828268,0204150504419004,FA9229384920245045,PAN649400480,293849202450,NEPAL AIRLINES LTD.
205833070,AC95816171,DLNLEG5828268,0204450504419005,FA2390802570124552,PAN649400480,908025701245,NEPAL AIRLINES LTD.
267006018,AC43999809,DLNIND1255130,0265751651971001,FA8283424984847166,PAN331700070,834249848471,Adarsh Bhakta Lama
902862284,AC20758439,DLNLEG5828268,9044050441952401,FA1293670971806076,PAN649400480,936709718060,NEPAL AIRLINES LTD.
902574244,AC44722650,DLNLEG5828268,9041504419524001,FA2204406588394752,PAN649400480,044065883947,NEPAL AIRLINES LTD.
482286165,AC73805861,DLNLEG8980703,4844384006524005,FA1662245430861116,PAN922795324,622454308611,
482310305,AC30175050,DLNLEG8980703,4841384006524006,FA4024837937240254,PAN922795324,248379372402,
482794127,AC64034361,DLNLEG2266684,4841831809952401,FA7093825707931983,PAN940651973,938257079319,SAGARMATHA TRADERS PVT. LTD.
48811719,AC92539790,DLNLEG2266684,4818318099524001,FA1938454500134828,PAN940651973,384545001348,SAGARMATHA TRADERS PVT. LTD.
42472092,AC91628127,DLNLEG5063780,4220240201524002,FA4457027483518168,PAN642854936,570274835181,
423912951,AC97058795,DLNLEG6576494,4244909200252405,FA7072919969727417,PAN813377590,729199697274,
42473744,AC31890354,DLNLEG5063780,4219240201524003,FA4598943706521174,PAN642854936,989437065211,
42563406,AC48648847,DLNLEG6576494,4241092002524028,FA7755649395558077,PAN813377590,556493955580,
671062403,AC69263452,DLNLEG1189719,6741128392524006,FA2069825704473748,PAN240743444,698257044737,
671065938,AC27851192,DLNLEG1189719,6744128392524007,FA7963308108823836,PAN240743444,633081088238,
836531103,AC41804457,DLNLEG6576494,0834459092002025,FA6722140254743665,PAN813377590,221402547436,
789280430,AC28755619,DLNLEG6576494,0784459092002068,FA7724894015587081,PAN813377590,248940155870,
681165716,AC98746397,DLNLEG8980703,6844384006524002,FA5955297147298005,PAN922795324,552971472980,
681165383,AC47425864,DLNLEG8980703,6841384006524001,FA1971521623871588,PAN922795324,715216238715,
D25703745,AC96944665,DLNLEG6218579,1322050038863004,FA1420124971439178,PAN533918346,201249714391,MANASLU HOSPITALITY PVT. LTD.
B12129883,AC33264626,DLNLEG3194194,B144499113524004,FA5655891176902812,PAN114592430,558911769028,
B11907237,AC66598600,DLNLEG3194194,B141499113524001,FA4904479583634780,PAN114592430,044795836347,
B15756364,AC98858347,DLNLEG5828268,1114150504419003,FA5756576672825205,PAN649400480,565766728252,NEPAL AIRLINES LTD.
B15904697,AC35130517,DLNLEG5828268,1114450504419006,FA6220544415279428,PAN649400480,205444152794,NEPAL AIRLINES LTD.
I43228485,AC26408967,DLNLEG8767566,I444051083352403,FA3640324112485524,PAN402958382,403241124855,SUNSARI MANUFACTURING LTD.
I43071540,AC64600086,DLNLEG8767566,I441051083352401,FA4137329919802474,PAN402958382,373299198024,SUNSARI MANUFACTURING LTD.
D38135379,AC30297503,DLNLEG9444528,1334150000865008,FA2649695756411853,PAN558406246,496957564118,
D38166032,AC17949681,DLNLEG9444528,1334450000865009,FA5665719789885069,PAN558406246,657197898850,
P15535886,AC68746394,DLNIND3781309,2514150891649001,FA1849326945598724,PAN625322405,493269455987,Talaz Prasad Bhattarai
6210390296,AC92900875,DLNIND4157875,062TD52906784006,FA4419406535949963,PAN847554163,194065359499,Hrisheekesh Dev Khadka
D14868456,AC44942630,DLNIND8221535,1314150545118002,FA3365441745731458,PAN501986596,654417457314,Hena Maya Rai
5410165142,AC44565215,DLNIND5576304,054FFN1082803085,FA8380420012114170,PAN747150056,804200121141,Lucy Laxmi Regmi
5410392250,AC35265517,DLNIND5576304,054FFN1082803093,FA9104324822724606,PAN747150056,043248227246,Lucy Laxmi Regmi
H74926724,AC22057271,DLNIND8690282,1778750625845001,FA8633710076768190,PAN234402002,337100767681,Ronika Devi Rai
1510393103,AC61157662,DLNIND8212211,015FFN5483718064,FA3843045759027013,PAN976589899,430457590270,Tanushree Devi Regmi
706967156,AC23502956,DLNIND3986994,0705750134245002,FA9437626959149272,PAN141132761,376269591492,Asphota Maya Shrestha
906690312,AC71620423,DLNIND2622447,0905751516157001,FA8027778098342562,PAN288484684,277780983425,Prashanta Babu Thapa
D24047862,AC30679355,DLNLEG6566454,D241000442652402,FA9853744565679913,PAN491523472,537445656799,KANCHANJUNGA LOGISTICS PVT. LTD.
22562131,AC22239436,DLNLEG5604950,2240133473524004,FA7186585600099040,PAN795534455,865856000990,
223691552,AC36388884,DLNLEG3727146,22AL213314252401,FA5600866079837320,PAN484574196,008660798373,BIRATNAGAR AUTOMOBILES PVT. LTD.
V710382770,AC92612952,DLNLEG5646672,317DLN0033937006,FA4766771955801196,PAN280369345,667719558011,
0910354460,AC62299557,DLNIND8257521,0094651131729005,FA6109104451095171,PAN873721196,091044510951,Juna Saraswati Neupane
803371634,AC90136263,DLNLEG1598748,8041052037152401,FA8244589281955200,PAN606494169,445892819552,MANANG HYDROPOWER LTD.
D86314215,AC87566801,DLNIND5644007,1384150771966002,FA1018972973080030,PAN695591077,189729730800,Vawesh Lal Bhandari
097823336,AC82508087,DLNIND1568693,0095752169468001,FA3594499190556624,PAN651060348,944991905566,Srijeet Prasad Tamang
V79413173,AC66411743,DLNIND1138256,3174650264434019,FA2665684987328991,PAN372339539,656849873289,Kalyan Gopal Maharjan
1510173367,AC89370989,DLNIND8212211,015FFN5483718062,FA6761863002175148,PAN976589899,618630021751,Tanushree Devi Regmi
1510400929,AC82849983,DLNIND8212211,015FFN5483718065,FA2360892670601958,PAN976589899,608926706019,Tanushree Devi Regmi
151430219,AC16582332,DLNIND8212211,1554483718524001,FA3968821630184947,PAN976589899,688216301849,Tanushree Devi Regmi
2910171473,AC53459556,DLNIND9910969,029FFN0061514037,FA4729568386068259,PAN170015742,295683860682,Poshan Gopal Bhandari
2910401454,AC31336879,DLNIND9910969,029FFN0061514040,FA3440574295977912,PAN170015742,405742959779,Poshan Gopal Bhandari
908254615,AC49684771,DLNIND2622447,0904151516157004,FA6944899007750302,PAN288484684,448990077503,Prashanta Babu Thapa
2610249179,AC48575031,DLNIND1255130,026FF16519712136,FA8203683546979596,PAN331700070,036835469795,Adarsh Bhakta Lama
40562984,AC49022119,DLNLEG6576494,4041092002524027,FA1357795470672064,PAN813377590,577954706720,
495300268,AC31185422,DLNIND8726228,0495750816195001,FA9186818145349531,PAN960707979,868181453495,Suk Bishal Sharma
629511307,AC48314990,DLNIND4157875,0625752906784001,FA7378672213109811,PAN847554163,786722131098,Hrisheekesh Dev Khadka
219422917,AC16074515,DLNIND4568821,0214651562055004,FA4184115591427304,PAN714271279,841155914273,Duman Narayan Neupane
2610407161,AC42596675,DLNIND1255130,026FF16519712150,FA4254360021978678,PAN331700070,543600219786,Adarsh Bhakta Lama
2610407163,AC87636600,DLNIND1255130,026FF16519712151,FA8381224704361557,PAN331700070,812247043615,Adarsh Bhakta Lama
2610407175,AC40322900,DLNIND1255130,026FF16519712152,FA7715442368031716,PAN331700070,154423680317,Adarsh Bhakta Lama
2610407192,AC40930710,DLNIND1255130,026FF16519712153,FA7591608359397972,PAN331700070,916083593979,Adarsh Bhakta Lama
2610407209,AC24328352,DLNIND1255130,026FF16519712154,FA9379568491590745,PAN331700070,795684915907,Adarsh Bhakta Lama
2610407223,AC37110558,DLNIND1255130,026FF16519712155,FA3271538215694771,PAN331700070,715382156947,Adarsh Bhakta Lama
2610407242,AC70042473,DLNIND1255130,026FF16519712156,FA1400212968960178,PAN331700070,002129689601,Adarsh Bhakta Lama
2610407255,AC58461814,DLNIND1255130,026FF16519712157,FA7857340096957487,PAN331700070,573400969574,Adarsh Bhakta Lama
2610407256,AC99722265,DLNIND1255130,026FF16519712158,FA1979147993327360,PAN331700070,791479933273,Adarsh Bhakta Lama
2610407269,AC27074741,DLNIND1255130,026FF16519712159,FA5058436367227555,PAN331700070,584363672275,Adarsh Bhakta Lama
2610407292,AC19272149,DLNIND1255130,026FF16519712160,FA8720630791076305,PAN331700070,206307910763,Adarsh Bhakta Lama
2610407294,AC95154999,DLNIND1255130,026FF16519712161,FA4447386417874516,PAN331700070,473864178745,Adarsh Bhakta Lama
2610407299,AC17984616,DLNIND1255130,026FF16519712162,FA1434155043533530,PAN331700070,341550435335,Adarsh Bhakta Lama
2610407300,AC47878299,DLNIND1255130,026FF16519712163,FA2130834104089828,PAN331700070,308341040898,Adarsh Bhakta Lama
2610407301,AC63029832,DLNIND1255130,026FF16519712164,FA2802335939055143,PAN331700070,023359390551,Adarsh Bhakta Lama
2610407302,AC55510071,DLNIND1255130,026FF16519712165,FA7038823516485746,PAN331700070,388235164857,Adarsh Bhakta Lama
2610407303,AC71976953,DLNIND1255130,026FF16519712166,FA7298478395421191,PAN331700070,984783954211,Adarsh Bhakta Lama
2610407304,AC92198712,DLNIND1255130,026FF16519712167,FA9196234322976525,PAN331700070,962343229765,Adarsh Bhakta Lama
2610407305,AC25656403,DLNIND1255130,026FF16519712168,FA5214445459236783,PAN331700070,144454592367,Adarsh Bhakta Lama
2610407306,AC26603315,DLNIND1255130,026FF16519712169,FA4209226436154417,PAN331700070,092264361544,Adarsh Bhakta Lama
2610407307,AC58863203,DLNIND1255130,026FF16519712170,FA2873938350773159,PAN331700070,739383507731,Adarsh Bhakta Lama
2610407308,AC56987141,DLNIND1255130,026FF16519712171,FA4904118914684090,PAN331700070,041189146840,Adarsh Bhakta Lama
2610407309,AC66763765,DLNIND1255130,026FF16519712172,FA5650934620163596,PAN331700070,509346201635,Adarsh Bhakta Lama
2610407310,AC69357243,DLNIND1255130,026FF16519712173,FA9411044297345867,PAN331700070,110442973458,Adarsh Bhakta Lama
2610407311,AC33245025,DLNIND1255130,026FF16519712174,FA8975306844086474,PAN331700070,753068440864,Adarsh Bhakta Lama
2610407320,AC50243402,DLNIND1255130,026FF16519712175,FA1106414617573939,PAN331700070,064146175739,Adarsh Bhakta Lama
2610407334,AC83089624,DLNIND1255130,026FF16519712176,FA3475900200225227,PAN331700070,759002002252,Adarsh Bhakta Lama
2610407342,AC71242208,DLNIND1255130,026FF16519712177,FA8940871067612535,PAN331700070,408710676125,Adarsh Bhakta Lama
2610407351,AC99826868,DLNIND1255130,026FF16519712178,FA3701200910698565,PAN331700070,012009106985,Adarsh Bhakta Lama
2610407357,AC33611296,DLNIND1255130,026FF16519712179,FA4833301450617680,PAN331700070,333014506176,Adarsh Bhakta Lama
2610407358,AC41790611,DLNIND1255130,026FF16519712180,FA1242827039581088,PAN331700070,428270395810,Adarsh Bhakta Lama
2610407359,AC75998817,DLNIND1255130,026FF16519712181,FA4867598426292391,PAN331700070,675984262923,Adarsh Bhakta Lama
2610407363,AC39677116,DLNIND1255130,026FF16519712182,FA5682248803219224,PAN331700070,822488032192,Adarsh Bhakta Lama
2610407375,AC76922967,DLNIND1255130,026FF16519712183,FA2477780324599070,PAN331700070,777803245990,Adarsh Bhakta Lama
2610407386,AC54791025,DLNIND1255130,026FF16519712184,FA2136060602110742,PAN331700070,360606021107,Adarsh Bhakta Lama
2610407390,AC94349063,DLNIND1255130,026FF16519712185,FA2718959921059109,PAN331700070,189599210591,Adarsh Bhakta Lama
2610407392,AC29376681,DLNIND1255130,026FF16519712186,FA9300702015280745,PAN331700070,007020152807,Adarsh Bhakta Lama
2610407394,AC43211923,DLNIND1255130,026FF16519712187,FA8269297589682503,PAN331700070,692975896825,Adarsh Bhakta Lama
2610407396,AC68676961,DLNIND1255130,026FF16519712188,FA3280568617854324,PAN331700070,805686178543,Adarsh Bhakta Lama
2610407398,AC26536507,DLNIND1255130,026FF16519712189,FA4153231499879665,PAN331700070,532314998796,Adarsh Bhakta Lama
2610407400,AC72400146,DLNIND1255130,026FF16519712190,FA5557337971463352,PAN331700070,573379714633,Adarsh Bhakta Lama
B95756817,AC70260934,DLNIND9084977,119TL51006372002,FA7706503953717935,PAN825001101,065039537179,Sanyukta Saraswati Bhattarai
30367769,AC32185294,DLNLEG6576494,3019092002524004,FA1379996293902320,PAN813377590,799962939023,
F85795678,AC47438136,DLNIND2287753,1585751028393001,FA5349566606347525,PAN167423035,495666063475,Kumud Kumari Regmi
288538755,AC43551576,DLNIND1372327,0284658893337040,FA1513019623323879,PAN729503320,130196233238,Pramil Narayan Adhikari
281825280,AC76647058,DLNIND1372327,2887893337524001,FA4574290156190375,PAN729503320,742901561903,Pramil Narayan Adhikari
N98087277,AC73055635,DLNIND3263104,2394651592493004,FA8319153779369990,PAN924788908,191537793699,Prasanga Bishal Neupane
N98087280,AC24761722,DLNIND3263104,2394651592493005,FA9344019040153820,PAN924788908,440190401538,Prasanga Bishal Neupane
B95745502,AC43811295,DLNIND9084977,1194151006372001,FA6929495090181408,PAN825001101,294950901814,Sanyukta Saraswati Bhattarai
1510412040,AC71653204,DLNIND9898224,015DLN5189814007,FA7712618756803893,PAN376421978,126187568038,Srista Laxmi Khadka
293877650,AC90138867,DLNIND9910969,2987006151452401,FA1226293877340222,PAN170015742,262938773402,Poshan Gopal Bhandari
D06224981,AC93119294,DLNLEG1189719,130TD59128392145,FA4875262056826759,PAN240743444,752620568267,
2610454947,AC91456031,DLNIND1255130,026FF16519712205,FA3495065184036366,PAN331700070,950651840363,Adarsh Bhakta Lama
2610454950,AC83987874,DLNIND1255130,026FF16519712208,FA6292140958983585,PAN331700070,921409589835,Adarsh Bhakta Lama
2610454944,AC25359809,DLNIND1255130,026FF16519712202,FA7046589445759193,PAN331700070,465894457591,Adarsh Bhakta Lama
2610454949,AC34109039,DLNIND1255130,026FF16519712207,FA3671317200626764,PAN331700070,713172006267,Adarsh Bhakta Lama
2610454948,AC84402623,DLNIND1255130,026FF16519712206,FA6606291220666464,PAN331700070,062912206664,Adarsh Bhakta Lama
2610454951,AC68789284,DLNIND1255130,026FF16519712209,FA4659296038782947,PAN331700070,592960387829,Adarsh Bhakta Lama
2610454943,AC14596320,DLNIND1255130,026FF16519712201,FA3961913565185109,PAN331700070,619135651851,Adarsh Bhakta Lama
2610454945,AC38046040,DLNIND1255130,026FF16519712203,FA5621156582338701,PAN331700070,211565823387,Adarsh Bhakta Lama
2610454946,AC18789713,DLNIND1255130,026FF16519712204,FA8877532599126662,PAN331700070,775325991266,Adarsh Bhakta Lama
908629994,AC44195351,DLNIND2622447,0904651516157007,FA9850330723064396,PAN288484684,503307230643,Prashanta Babu Thapa
908629993,AC81664843,DLNIND2622447,0904651516157006,FA3791360320692809,PAN288484684,913603206928,Prashanta Babu Thapa
4710074204,AC80236034,DLNIND4211643,0474659520992003,FA5465158317041759,PAN697945863,651583170417,Sriti Kumari Thapa
707601829,AC50644502,DLNIND3986994,070TLN0134245003,FA3076621615379750,PAN141132761,766216153797,Asphota Maya Shrestha
R810466519,AC24011452,DLNIND8738953,278TD56283925048,FA6731122116317868,PAN401676066,311221163178,Sahil Bahadur Yadav
267906294,AC33248417,DLNIND1255130,0264651651971010,FA2533971616851241,PAN331700070,339716168512,Adarsh Bhakta Lama
X17919552,AC34736328,DLNIND2035752,3314651566002002,FA6308724461114220,PAN630828841,087244611142,Anushikha Saraswati Shrestha
677840314,AC75721026,DLNIND4263447,0674659396490002,FA9008944407238877,PAN602858021,089444072388,sandal  Tandukar
091197131,AC48358592,DLNIND4263447,0944396490524001,FA3033937761650927,PAN602858021,339377616509,sandal  Tandukar
704009981,AC18563744,DLNIND3986994,7041013424552401,FA5889887034827905,PAN141132761,898870348279,Asphota Maya Shrestha
797874704,AC92561281,DLNIND8690282,0794650625845002,FA2013402064226186,PAN234402002,134020642261,Ronika Devi Rai
Q57920101,AC63780800,DLNIND2035752,2654651566002003,FA1739226078954724,PAN630828841,392260789547,Anushikha Saraswati Shrestha
A07865578,AC25269173,DLNIND7227326,1004656155515003,FA9592523941647640,PAN613246502,925239416476,Sunanda Bishnu Rai
V88057988,AC95384070,DLNIND3257367,3184652275983003,FA7483162939540593,PAN727567807,831629395405,Aavaas Ram Adhikari
V88046198,AC43416524,DLNIND3257367,3184652275983002,FA1646220598508770,PAN727567807,462205985087,Aavaas Ram Adhikari
549413697,AC76559402,DLNLEG6576494,054TD59092002079,FA3354835500463427,PAN813377590,548355004634,
6210469738,AC74779314,DLNIND4157875,062TD52906784007,FA6723811891928329,PAN847554163,238118919283,Hrisheekesh Dev Khadka
2610454941,AC48177401,DLNIND1255130,026FF16519712200,FA5487616874029454,PAN331700070,876168740294,Adarsh Bhakta Lama
O910472863,AC51862817,DLNIND7445925,249TD50587212014,FA5519412832859177,PAN409564003,194128328591,Abid Gopal Khadka
157665658,AC89807904,DLNIND9898224,015NAN5189814004,FA8947554115180167,PAN376421978,475541151801,Srista Laxmi Khadka
388553657,AC43716123,DLNIND5013653,038NAN1009724003,FA4216350869660382,PAN106648673,163508696603,Mikma Hari Lama
385749998,AC33879690,DLNIND5013653,0384151009724001,FA6373657248206981,PAN106648673,736572482069,Mikma Hari Lama
385811456,AC33970810,DLNIND5013653,038TL51009724002,FA2300549696110485,PAN106648673,005496961104,Mikma Hari Lama
O910027942,AC22456485,DLNIND7445925,249TD50587212012,FA7894658353724998,PAN409564003,946583537249,Abid Gopal Khadka
23562532,AC40373877,DLNLEG5142567,2340114400524004,FA6956461779728229,PAN491606593,564617797282,
O57621451,AC61219368,DLNIND5461679,245NAN1116404003,FA4624824725024892,PAN499792774,248247250248,Shiva Bikram Pandey
O55958332,AC64861055,DLNIND5461679,2454151116404001,FA2013085111614210,PAN499792774,130851116142,Shiva Bikram Pandey
267113458,AC85958348,DLNIND7340765,0265751700535001,FA3761849508473646,PAN370287241,618495084736,Timilsina Gopal Acharya
089431289,AC88709890,DLNLEG8980703,008TD58384006088,FA5203959758181464,PAN922795324,039597581814,
549431024,AC85728332,DLNLEG6576494,054TD59092002080,FA1610685409829739,PAN813377590,106854098297,
5410034305,AC47434395,DLNLEG8980703,054TD58384006094,FA5779141740173990,PAN922795324,791417401739,
269971442,AC54618611,DLNIND1255130,0266881651971011,FA9708461540055980,PAN331700070,084615400559,Adarsh Bhakta Lama
309658898,AC43548892,DLNIND6814583,030PLN1084371005,FA8421606189374923,PAN571982938,216061893749,Krishala Kumari Sharma
