First Name,Middle Name,Surname,Full Name,Gender,Relation
Sapana,Maya,Timalsina,Sapana Maya Timalsina,Female,Mother
Sabita,,Maharjan,Sabita Maharjan,Female,Wife
Gita,,Thapa,Gita Thapa,Female,Wife
Hari,Raj,Shrestha,Hari Raj Shrestha,Male,Husband
Prasant,Bahadur,Karki,Prasant Bahadur Karki,Male,Husband
Shreya,Kumari,Maharjan,Shreya Kumari Maharjan,Female,Mother
Prasant,,Rai,Prasant Rai,Male,Husband
Ram,Lal,Sherpa,Ram Lal Sherpa,Male,Husband
Shreya,Rani,Rai,Shreya Rani Rai,Female,Wife
Sapana,Maya,Timalsina,Sapana Maya Timalsina,Female,Mother
Moni,Maya,Maharjan,Moni Maya Maharjan,Female,Mother
Sabita,Rani,Shrestha,Sabita Rani Shrestha,Female,Wife
Sisir,,Karki,Sisir Karki,Male,Father
Gita,,Sherpa,Gita Sherpa,Female,Mother
Moni,Maya,Sherpa,Moni Maya Sherpa,Female,Wife
Sita,Laxmi,Rai,Sita Laxmi Rai,Female,Mother
Gita,,Shrestha,Gita Shrestha,Female,Wife
Sunita,Rani,Sherpa,Sunita Rani Sherpa,Female,Mother
Prasant,Singh,Maharjan,Prasant Singh Maharjan,Male,Husband
Shreya,,Maharjan,Shreya Maharjan,Female,Wife
Dev,,Tamang,Dev Tamang,Male,Father
Hari,,Karki,Hari Karki,Male,Father
Anil,Prasad,Timalsina,Anil Prasad Timalsina,Male,Father
Shreya,Laxmi,Shrestha,Shreya Laxmi Shrestha,Female,Wife
Sunil,,Karki,Sunil Karki,Male,Father
Sapana,Rani,Shrestha,Sapana Rani Shrestha,Female,Wife
Praful,Bahadur,Timalsina,Praful Bahadur Timalsina,Male,Husband
Raj,,Timalsina,Raj Timalsina,Male,Husband
Anil,Raj,Rai,Anil Raj Rai,Male,Husband
Dipak,Man,Thapa,Dipak Man Thapa,Male,Father
Sisir,Singh,Rai,Sisir Singh Rai,Male,Father
Sisir,Krishna,Rai,Sisir Krishna Rai,Male,Husband
Mina,Devi,Shrestha,Mina Devi Shrestha,Female,Wife
Gita,Devi,Bhandari,Gita Devi Bhandari,Female,Wife
Sisir,,Shrestha,Sisir Shrestha,Male,Father
Sapana,Laxmi,Karki,Sapana Laxmi Karki,Female,Mother
Shreya,Maya,Thapa,Shreya Maya Thapa,Female,Mother
Sunita,Maya,Rai,Sunita Maya Rai,Female,Wife
Sita,Rani,Shrestha,Sita Rani Shrestha,Female,Mother
Shreya,Devi,Tamang,Shreya Devi Tamang,Female,Wife
Prasant,Singh,Rai,Prasant Singh Rai,Male,Husband
Sunil,,Thapa,Sunil Thapa,Male,Husband
Mina,Devi,Tamang,Mina Devi Tamang,Female,Mother
Gita,Rani,Tamang,Gita Rani Tamang,Female,Wife
Sita,Rani,Maharjan,Sita Rani Maharjan,Female,Mother
Moni,Kumari,Shrestha,Moni Kumari Shrestha,Female,Wife
Shreya,Laxmi,Karki,Shreya Laxmi Karki,Female,Wife
Hari,Kumar,Tamang,Hari Kumar Tamang,Male,Father
Sita,Kumari,Maharjan,Sita Kumari Maharjan,Female,Mother
Mina,Devi,Thapa,Mina Devi Thapa,Female,Mother
Kiran,,Tamang,Kiran Tamang,Male,Husband
Dev,Kumar,Shrestha,Dev Kumar Shrestha,Male,Husband
Sunita,,Thapa,Sunita Thapa,Female,Mother
Safal,Prasad,Timalsina,Safal Prasad Timalsina,Male,Husband
Anil,Lal,Sherpa,Anil Lal Sherpa,Male,Husband
Sapana,Rani,Tamang,Sapana Rani Tamang,Female,Mother
Moni,Devi,Thapa,Moni Devi Thapa,Female,Wife
Sisir,Kumar,Gurung,Sisir Kumar Gurung,Male,Husband
Sita,,Tamang,Sita Tamang,Female,Mother
Sabita,Kumari,Bhandari,Sabita Kumari Bhandari,Female,Wife
Shreya,Laxmi,Sherpa,Shreya Laxmi Sherpa,Female,Mother
Mina,Kumari,K.C.,Mina Kumari K.C.,Female,Wife
Shyam,Prasad,Bhandari,Shyam Prasad Bhandari,Male,Father
Moni,,K.C.,Moni K.C.,Female,Wife
Hari,Raj,Tamang,Hari Raj Tamang,Male,Father
Raj,Singh,Gurung,Raj Singh Gurung,Male,Husband
Sunita,Rani,Tamang,Sunita Rani Tamang,Female,Wife
Sabita,Devi,Thapa,Sabita Devi Thapa,Female,Mother
Sabita,,Bhandari,Sabita Bhandari,Female,Mother
Praful,Krishna,K.C.,Praful Krishna K.C.,Male,Father
Dev,Bahadur,Rai,Dev Bahadur Rai,Male,Husband
Mina,,Timalsina,Mina Timalsina,Female,Wife
Dev,Singh,Maharjan,Dev Singh Maharjan,Male,Father
Sapana,Rani,Bhandari,Sapana Rani Bhandari,Female,Mother
Dev,Lal,K.C.,Dev Lal K.C.,Male,Father
Gita,,Thapa,Gita Thapa,Female,Wife
Anil,,Tamang,Anil Tamang,Male,Father
Mina,,Timalsina,Mina Timalsina,Female,Mother
Dev,,K.C.,Dev K.C.,Male,Father
Dipak,Man,Shrestha,Dipak Man Shrestha,Male,Father
Shreya,,Timalsina,Shreya Timalsina,Female,Mother
Dipak,Singh,Tamang,Dipak Singh Tamang,Male,Husband
Dipak,,Karki,Dipak Karki,Male,Father
Sunita,Kumari,Rai,Sunita Kumari Rai,Female,Wife
Sapana,Devi,Shrestha,Sapana Devi Shrestha,Female,Wife
Sisir,Prasad,Bhandari,Sisir Prasad Bhandari,Male,Husband
Anil,Singh,Timalsina,Anil Singh Timalsina,Male,Father
Mina,Kumari,Thapa,Mina Kumari Thapa,Female,Mother
Prasant,Singh,Shrestha,Prasant Singh Shrestha,Male,Father
Sunita,,Shrestha,Sunita Shrestha,Female,Mother
Shyam,Lal,Sherpa,Shyam Lal Sherpa,Male,Father
Anil,,Tamang,Anil Tamang,Male,Husband
Sita,Devi,Shrestha,Sita Devi Shrestha,Female,Wife
Dipak,Singh,Karki,Dipak Singh Karki,Male,Husband
Shyam,Bahadur,Maharjan,Shyam Bahadur Maharjan,Male,Husband
Sapana,Rani,Karki,Sapana Rani Karki,Female,Wife
Ram,Bahadur,Thapa,Ram Bahadur Thapa,Male,Husband
Abhaya,Man,K.C.,Abhaya Man K.C.,Male,Father
Praful,Lal,Maharjan,Praful Lal Maharjan,Male,Husband
Kiran,,Rai,Kiran Rai,Male,Father
Sapana,Devi,Timalsina,Sapana Devi Timalsina,Female,Wife
Anil,Kumar,Sherpa,Anil Kumar Sherpa,Male,Father
Sapana,Rani,Shrestha,Sapana Rani Shrestha,Female,Wife
Dev,Prasad,Rai,Dev Prasad Rai,Male,Husband
Sapana,,Bhandari,Sapana Bhandari,Female,Mother
Shyam,Lal,Tamang,Shyam Lal Tamang,Male,Husband
Gita,Kumari,Shrestha,Gita Kumari Shrestha,Female,Mother
Kiran,,Timalsina,Kiran Timalsina,Male,Husband
Raj,Singh,Timalsina,Raj Singh Timalsina,Male,Husband
Anil,,Sherpa,Anil Sherpa,Male,Husband
Mina,Laxmi,Timalsina,Mina Laxmi Timalsina,Female,Mother
Sunita,Laxmi,Bhandari,Sunita Laxmi Bhandari,Female,Mother
Shreya,,Timalsina,Shreya Timalsina,Female,Wife
Anil,Bahadur,Karki,Anil Bahadur Karki,Male,Husband
Sita,Devi,K.C.,Sita Devi K.C.,Female,Mother
Ram,,Tamang,Ram Tamang,Male,Father
Hari,Raj,Thapa,Hari Raj Thapa,Male,Father
Sapana,,Gurung,Sapana Gurung,Female,Wife
Hari,Krishna,Rai,Hari Krishna Rai,Male,Father
Mina,Rani,Rai,Mina Rani Rai,Female,Wife
Sunil,,Gurung,Sunil Gurung,Male,Husband
Gita,Maya,Shrestha,Gita Maya Shrestha,Female,Mother
Dipak,Singh,Maharjan,Dipak Singh Maharjan,Male,Husband
Anil,,Tamang,Anil Tamang,Male,Father
Sita,Laxmi,Maharjan,Sita Laxmi Maharjan,Female,Wife
Sisir,,K.C.,Sisir K.C.,Male,Father
Praful,,Shrestha,Praful Shrestha,Male,Father
Praful,Krishna,Tamang,Praful Krishna Tamang,Male,Husband
Sita,,K.C.,Sita K.C.,Female,Wife
Praful,Kumar,Timalsina,Praful Kumar Timalsina,Male,Husband
Prasant,Lal,Shrestha,Prasant Lal Shrestha,Male,Husband
Prasant,,Tamang,Prasant Tamang,Male,Father
Shreya,,Tamang,Shreya Tamang,Female,Mother
Hari,,Rai,Hari Rai,Male,Father
Moni,Devi,Timalsina,Moni Devi Timalsina,Female,Mother
Dipak,,Rai,Dipak Rai,Male,Father
Shreya,Maya,Thapa,Shreya Maya Thapa,Female,Mother
Sita,Devi,Gurung,Sita Devi Gurung,Female,Mother
Raj,Kumar,Timalsina,Raj Kumar Timalsina,Male,Husband
Sunita,,Timalsina,Sunita Timalsina,Female,Wife
Mina,Maya,Bhandari,Mina Maya Bhandari,Female,Wife
Sapana,,Thapa,Sapana Thapa,Female,Mother
Sapana,Rani,Sherpa,Sapana Rani Sherpa,Female,Wife
Shyam,,Bhandari,Shyam Bhandari,Male,Husband
Sunita,Rani,Tamang,Sunita Rani Tamang,Female,Mother
Sisir,Man,Maharjan,Sisir Man Maharjan,Male,Father
Moni,Kumari,K.C.,Moni Kumari K.C.,Female,Mother
Hari,Kumar,Thapa,Hari Kumar Thapa,Male,Father
Mina,Rani,Shrestha,Mina Rani Shrestha,Female,Mother
Mina,Laxmi,Thapa,Mina Laxmi Thapa,Female,Wife
Sapana,,Thapa,Sapana Thapa,Female,Mother
Shreya,Maya,Sherpa,Shreya Maya Sherpa,Female,Mother
Sunil,Singh,Sherpa,Sunil Singh Sherpa,Male,Father
Moni,Devi,K.C.,Moni Devi K.C.,Female,Wife
Moni,Kumari,Karki,Moni Kumari Karki,Female,Wife
Sunita,Devi,Bhandari,Sunita Devi Bhandari,Female,Mother
Hari,Man,Shrestha,Hari Man Shrestha,Male,Father
Raj,Raj,Bhandari,Raj Raj Bhandari,Male,Husband
Sita,Kumari,K.C.,Sita Kumari K.C.,Female,Wife
Kiran,,Gurung,Kiran Gurung,Male,Husband
Moni,Devi,K.C.,Moni Devi K.C.,Female,Wife
Sapana,Kumari,Sherpa,Sapana Kumari Sherpa,Female,Mother
Sita,Rani,Thapa,Sita Rani Thapa,Female,Mother
Praful,Raj,Bhandari,Praful Raj Bhandari,Male,Husband
Praful,,Shrestha,Praful Shrestha,Male,Husband
Moni,Laxmi,Rai,Moni Laxmi Rai,Female,Mother
Shreya,Maya,Tamang,Shreya Maya Tamang,Female,Mother
Sapana,Rani,Tamang,Sapana Rani Tamang,Female,Mother
Sisir,Singh,Shrestha,Sisir Singh Shrestha,Male,Father
Dev,Bahadur,Tamang,Dev Bahadur Tamang,Male,Father
Sapana,,Karki,Sapana Karki,Female,Wife
Moni,Kumari,Karki,Moni Kumari Karki,Female,Wife
Mina,,Bhandari,Mina Bhandari,Female,Mother
Dev,Lal,Tamang,Dev Lal Tamang,Male,Father
Mina,Devi,Thapa,Mina Devi Thapa,Female,Mother
Shreya,Laxmi,Rai,Shreya Laxmi Rai,Female,Wife
Shyam,,K.C.,Shyam K.C.,Male,Father
Dev,,Shrestha,Dev Shrestha,Male,Husband
Sunita,Laxmi,Rai,Sunita Laxmi Rai,Female,Wife
Dipak,Prasad,Sherpa,Dipak Prasad Sherpa,Male,Father
Kiran,Kumar,Tamang,Kiran Kumar Tamang,Male,Father
Sunita,,Karki,Sunita Karki,Female,Wife
Sabita,Rani,Gurung,Sabita Rani Gurung,Female,Wife
Sapana,Maya,Maharjan,Sapana Maya Maharjan,Female,Wife
Shreya,Rani,Shrestha,Shreya Rani Shrestha,Female,Wife
Mina,Maya,Timalsina,Mina Maya Timalsina,Female,Wife
Ram,Man,Bhandari,Ram Man Bhandari,Male,Father
Dipak,Krishna,K.C.,Dipak Krishna K.C.,Male,Husband
Shreya,Maya,Rai,Shreya Maya Rai,Female,Wife
Sisir,Prasad,Karki,Sisir Prasad Karki,Male,Father
Sabita,Kumari,Gurung,Sabita Kumari Gurung,Female,Mother
Praful,,Rai,Praful Rai,Male,Father
Hari,Singh,K.C.,Hari Singh K.C.,Male,Husband
Sabita,Devi,Tamang,Sabita Devi Tamang,Female,Wife
Shyam,,Maharjan,Shyam Maharjan,Male,Husband
Abhaya,Krishna,Bhandari,Abhaya Krishna Bhandari,Male,Husband
Shreya,Kumari,Rai,Shreya Kumari Rai,Female,Mother
Mina,Laxmi,Thapa,Mina Laxmi Thapa,Female,Wife
Shyam,Lal,K.C.,Shyam Lal K.C.,Male,Father
Moni,,Maharjan,Moni Maharjan,Female,Wife
Sunita,,Shrestha,Sunita Shrestha,Female,Wife
Gita,Devi,Sherpa,Gita Devi Sherpa,Female,Mother
Safal,,Thapa,Safal Thapa,Male,Father
Shreya,Laxmi,Tamang,Shreya Laxmi Tamang,Female,Mother
Sapana,Laxmi,Sherpa,Sapana Laxmi Sherpa,Female,Mother
Sabita,,K.C.,Sabita K.C.,Female,Mother
Shreya,Maya,Sherpa,Shreya Maya Sherpa,Female,Mother
Sunita,Kumari,Maharjan,Sunita Kumari Maharjan,Female,Mother
Sita,Rani,Bhandari,Sita Rani Bhandari,Female,Wife
Anil,,Maharjan,Anil Maharjan,Male,Father
Sunita,Maya,Tamang,Sunita Maya Tamang,Female,Wife
Sabita,,Gurung,Sabita Gurung,Female,Wife
Sita,Maya,Shrestha,Sita Maya Shrestha,Female,Mother
Prasant,Singh,Gurung,Prasant Singh Gurung,Male,Father
Abhaya,Prasad,Maharjan,Abhaya Prasad Maharjan,Male,Husband
Sapana,,Rai,Sapana Rai,Female,Wife
Sisir,Bahadur,Shrestha,Sisir Bahadur Shrestha,Male,Husband
Raj,,Timalsina,Raj Timalsina,Male,Husband
Sunita,Kumari,K.C.,Sunita Kumari K.C.,Female,Mother
Hari,,Rai,Hari Rai,Male,Father
Mina,Laxmi,Sherpa,Mina Laxmi Sherpa,Female,Wife
Prasant,Raj,Sherpa,Prasant Raj Sherpa,Male,Husband
Sapana,,Maharjan,Sapana Maharjan,Female,Wife
Sunita,,Karki,Sunita Karki,Female,Mother
Mina,Rani,Tamang,Mina Rani Tamang,Female,Mother
Mina,Kumari,Thapa,Mina Kumari Thapa,Female,Mother
Safal,,Rai,Safal Rai,Male,Father
Sapana,Rani,Maharjan,Sapana Rani Maharjan,Female,Mother
Sapana,Devi,Tamang,Sapana Devi Tamang,Female,Wife
Gita,Devi,Timalsina,Gita Devi Timalsina,Female,Wife
Sunil,Kumar,K.C.,Sunil Kumar K.C.,Male,Husband
Praful,Raj,Sherpa,Praful Raj Sherpa,Male,Husband
Praful,,K.C.,Praful K.C.,Male,Father
Sapana,Kumari,Tamang,Sapana Kumari Tamang,Female,Wife
Moni,,Rai,Moni Rai,Female,Wife
Sunita,Devi,Rai,Sunita Devi Rai,Female,Mother
Sita,,Karki,Sita Karki,Female,Mother
Shreya,Maya,Timalsina,Shreya Maya Timalsina,Female,Wife
Dev,Kumar,K.C.,Dev Kumar K.C.,Male,Husband
Sapana,Maya,Thapa,Sapana Maya Thapa,Female,Wife
Sisir,,K.C.,Sisir K.C.,Male,Father
Moni,,Rai,Moni Rai,Female,Wife
Ram,Kumar,Maharjan,Ram Kumar Maharjan,Male,Father
Sabita,Rani,Tamang,Sabita Rani Tamang,Female,Wife
Shyam,,Maharjan,Shyam Maharjan,Male,Father
Dev,,Gurung,Dev Gurung,Male,Husband
Dev,,Thapa,Dev Thapa,Male,Father
Prasant,,Maharjan,Prasant Maharjan,Male,Father
Mina,Laxmi,Bhandari,Mina Laxmi Bhandari,Female,Wife
Prasant,,Bhandari,Prasant Bhandari,Male,Husband
Gita,Kumari,Bhandari,Gita Kumari Bhandari,Female,Wife
Gita,Laxmi,Bhandari,Gita Laxmi Bhandari,Female,Wife
Gita,Maya,Gurung,Gita Maya Gurung,Female,Wife
Prasant,Prasad,K.C.,Prasant Prasad K.C.,Male,Father
Moni,Maya,K.C.,Moni Maya K.C.,Female,Mother
Abhaya,Raj,Thapa,Abhaya Raj Thapa,Male,Husband
Prasant,Prasad,Tamang,Prasant Prasad Tamang,Male,Husband
Sisir,Raj,Timalsina,Sisir Raj Timalsina,Male,Husband
Sabita,,K.C.,Sabita K.C.,Female,Wife
Moni,Laxmi,Shrestha,Moni Laxmi Shrestha,Female,Mother
Gita,,Sherpa,Gita Sherpa,Female,Wife
Moni,Devi,Thapa,Moni Devi Thapa,Female,Wife
Abhaya,Raj,Rai,Abhaya Raj Rai,Male,Father
Sabita,,Shrestha,Sabita Shrestha,Female,Wife
Raj,,Thapa,Raj Thapa,Male,Father
Dipak,,Rai,Dipak Rai,Male,Husband
Hari,Man,Bhandari,Hari Man Bhandari,Male,Husband
Moni,Laxmi,Shrestha,Moni Laxmi Shrestha,Female,Wife
Ram,Lal,Maharjan,Ram Lal Maharjan,Male,Father
Ram,Singh,Timalsina,Ram Singh Timalsina,Male,Husband
Dipak,Kumar,Timalsina,Dipak Kumar Timalsina,Male,Husband
Gita,,Sherpa,Gita Sherpa,Female,Mother
Safal,Raj,Maharjan,Safal Raj Maharjan,Male,Father
Sabita,,Tamang,Sabita Tamang,Female,Mother
Sabita,Laxmi,Gurung,Sabita Laxmi Gurung,Female,Wife
Ram,Man,K.C.,Ram Man K.C.,Male,Husband
Praful,Raj,Tamang,Praful Raj Tamang,Male,Husband
Kiran,,Tamang,Kiran Tamang,Male,Husband
Sunita,Devi,Gurung,Sunita Devi Gurung,Female,Wife
Shyam,Man,Timalsina,Shyam Man Timalsina,Male,Husband
Shreya,Rani,Rai,Shreya Rani Rai,Female,Mother
Dipak,,Maharjan,Dipak Maharjan,Male,Husband
Sabita,,Maharjan,Sabita Maharjan,Female,Wife
Hari,,Sherpa,Hari Sherpa,Male,Husband
Dipak,Lal,Tamang,Dipak Lal Tamang,Male,Father
Prasant,Kumar,Shrestha,Prasant Kumar Shrestha,Male,Father
Raj,,Timalsina,Raj Timalsina,Male,Father
Mina,Rani,Maharjan,Mina Rani Maharjan,Female,Wife
Sabita,,Bhandari,Sabita Bhandari,Female,Mother
Raj,Man,Shrestha,Raj Man Shrestha,Male,Husband
Dev,Prasad,Timalsina,Dev Prasad Timalsina,Male,Husband
Sunil,Prasad,Bhandari,Sunil Prasad Bhandari,Male,Father
Raj,Krishna,Tamang,Raj Krishna Tamang,Male,Husband
Moni,,Shrestha,Moni Shrestha,Female,Wife
Sunil,Kumar,Bhandari,Sunil Kumar Bhandari,Male,Father
Dipak,,Bhandari,Dipak Bhandari,Male,Father
Sisir,Man,Timalsina,Sisir Man Timalsina,Male,Husband
Sabita,Maya,Rai,Sabita Maya Rai,Female,Mother
Sita,,Rai,Sita Rai,Female,Mother
Moni,Maya,Bhandari,Moni Maya Bhandari,Female,Wife
Sita,Kumari,Maharjan,Sita Kumari Maharjan,Female,Mother
Raj,Man,Karki,Raj Man Karki,Male,Husband
Praful,Prasad,Bhandari,Praful Prasad Bhandari,Male,Husband
Gita,Rani,K.C.,Gita Rani K.C.,Female,Wife
Moni,Maya,Gurung,Moni Maya Gurung,Female,Mother
Sunita,Laxmi,Timalsina,Sunita Laxmi Timalsina,Female,Wife
Sapana,,Sherpa,Sapana Sherpa,Female,Wife
Sita,,K.C.,Sita K.C.,Female,Mother
Sita,Kumari,Rai,Sita Kumari Rai,Female,Wife
Gita,Devi,Shrestha,Gita Devi Shrestha,Female,Mother
Shyam,Singh,Maharjan,Shyam Singh Maharjan,Male,Father
Sapana,,Thapa,Sapana Thapa,Female,Mother
Anil,,K.C.,Anil K.C.,Male,Father
Ram,Lal,K.C.,Ram Lal K.C.,Male,Father
Shyam,Man,Maharjan,Shyam Man Maharjan,Male,Father
Abhaya,Raj,Thapa,Abhaya Raj Thapa,Male,Husband
Hari,,K.C.,Hari K.C.,Male,Husband
Praful,Prasad,Sherpa,Praful Prasad Sherpa,Male,Husband
Raj,,Timalsina,Raj Timalsina,Male,Father
Sita,Devi,Shrestha,Sita Devi Shrestha,Female,Wife
Sunil,,Shrestha,Sunil Shrestha,Male,Father
Praful,Kumar,Karki,Praful Kumar Karki,Male,Father
Abhaya,Raj,Gurung,Abhaya Raj Gurung,Male,Father
Moni,Maya,Bhandari,Moni Maya Bhandari,Female,Mother
Sunita,Laxmi,Sherpa,Sunita Laxmi Sherpa,Female,Mother
Mina,Laxmi,Sherpa,Mina Laxmi Sherpa,Female,Wife
Prasant,Lal,Maharjan,Prasant Lal Maharjan,Male,Father
Sita,Devi,Bhandari,Sita Devi Bhandari,Female,Mother
Gita,,Sherpa,Gita Sherpa,Female,Mother
Sita,,Sherpa,Sita Sherpa,Female,Wife
Sisir,Lal,Shrestha,Sisir Lal Shrestha,Male,Father
Hari,Raj,Tamang,Hari Raj Tamang,Male,Father
Anil,,Karki,Anil Karki,Male,Father
Sunita,Rani,K.C.,Sunita Rani K.C.,Female,Mother
Sabita,Laxmi,Bhandari,Sabita Laxmi Bhandari,Female,Mother
Moni,,Maharjan,Moni Maharjan,Female,Wife
Sapana,Rani,Timalsina,Sapana Rani Timalsina,Female,Wife
Shyam,Singh,Shrestha,Shyam Singh Shrestha,Male,Father
Sita,Maya,Tamang,Sita Maya Tamang,Female,Mother
Sunita,,Thapa,Sunita Thapa,Female,Wife
Sunil,Singh,Bhandari,Sunil Singh Bhandari,Male,Father
Shreya,Laxmi,Karki,Shreya Laxmi Karki,Female,Wife
Sapana,,Shrestha,Sapana Shrestha,Female,Wife
Anil,Bahadur,Bhandari,Anil Bahadur Bhandari,Male,Husband
Sabita,Kumari,Gurung,Sabita Kumari Gurung,Female,Mother
Sisir,,Tamang,Sisir Tamang,Male,Husband
Sabita,Maya,Tamang,Sabita Maya Tamang,Female,Wife
Sita,Laxmi,Bhandari,Sita Laxmi Bhandari,Female,Mother
Hari,Lal,Bhandari,Hari Lal Bhandari,Male,Husband
Sabita,Devi,Bhandari,Sabita Devi Bhandari,Female,Wife
Safal,Prasad,Karki,Safal Prasad Karki,Male,Husband
Safal,Bahadur,Bhandari,Safal Bahadur Bhandari,Male,Husband
Raj,Singh,K.C.,Raj Singh K.C.,Male,Father
Anil,Singh,Karki,Anil Singh Karki,Male,Husband
Sapana,Laxmi,Karki,Sapana Laxmi Karki,Female,Wife
Hari,,Shrestha,Hari Shrestha,Male,Father
Gita,Maya,Bhandari,Gita Maya Bhandari,Female,Mother
Sunil,,Rai,Sunil Rai,Male,Father
Dev,Bahadur,K.C.,Dev Bahadur K.C.,Male,Father
Sunita,Kumari,Shrestha,Sunita Kumari Shrestha,Female,Wife
Sita,Maya,Bhandari,Sita Maya Bhandari,Female,Mother
Sita,Rani,Gurung,Sita Rani Gurung,Female,Mother
Sunil,Raj,Shrestha,Sunil Raj Shrestha,Male,Husband
Shyam,,Rai,Shyam Rai,Male,Father
Shreya,Laxmi,Timalsina,Shreya Laxmi Timalsina,Female,Wife
Sunil,,Maharjan,Sunil Maharjan,Male,Father
Dipak,Krishna,Bhandari,Dipak Krishna Bhandari,Male,Father
Dipak,Singh,Shrestha,Dipak Singh Shrestha,Male,Father
Sunita,Kumari,Gurung,Sunita Kumari Gurung,Female,Mother
Moni,Laxmi,Maharjan,Moni Laxmi Maharjan,Female,Mother
Praful,Lal,Thapa,Praful Lal Thapa,Male,Father
Prasant,Krishna,Shrestha,Prasant Krishna Shrestha,Male,Father
Sunita,Devi,Thapa,Sunita Devi Thapa,Female,Mother
Sita,Laxmi,Shrestha,Sita Laxmi Shrestha,Female,Wife
Hari,Singh,Timalsina,Hari Singh Timalsina,Male,Husband
Gita,Kumari,Karki,Gita Kumari Karki,Female,Mother
Praful,Krishna,Gurung,Praful Krishna Gurung,Male,Husband
Sunita,,Bhandari,Sunita Bhandari,Female,Mother
Shyam,Man,Sherpa,Shyam Man Sherpa,Male,Father
Sunita,,Gurung,Sunita Gurung,Female,Mother
Sabita,Devi,Thapa,Sabita Devi Thapa,Female,Mother
Sapana,,Sherpa,Sapana Sherpa,Female,Wife
Sapana,,Karki,Sapana Karki,Female,Wife
Gita,Maya,Sherpa,Gita Maya Sherpa,Female,Mother
Raj,Lal,Maharjan,Raj Lal Maharjan,Male,Father
Moni,Rani,Rai,Moni Rani Rai,Female,Mother
Mina,Kumari,Karki,Mina Kumari Karki,Female,Mother
