_id,name,doing_business_as,pan_number,mobile_number,email_id,account_number,account_name,user_name,status,stage,created_date,merchant_settlement_level,is_instant_settlement,merchant_category,merchant_subcategory,business_registered_org,is_vat,user_profile,merchant_registration_type,reg_mode,business_type,settlement_level,data_synced_date,remarks,branch_code,branch_name,province,district,municipality,tole,created_approve_date,modified_date,approved_date,approved_by,modified_by,is_pan_registered,introduced_by,business_registration_no,updated_at
135371,BIRATNAGAR AUTOMOBILES PVT. LTD.,BIRATNAGAR AUTOMOBILES PVT. LTD.,PAN952179235,-9845095898,biratnagarautomobiles930@outlook.com,FA8698709284689804,BIRATNAGAR AUTOMOBILES PVT. LTD.,-9845095898,ACTIVE,APPROVED,2021-03-15T17:57:46,1,False,Retail Outlets,,Department of commerce,False,Merchant Default,QR,BULK,Pvt. Ltd,1,,Edited Merchant has been approved,01,Tripureswor,State-3,Kathmandu,Kathmandu MP,WARD NO 24 GUCCHATOLE NEWROAD KATHMANDU,2021-03-15T19:20:12,2021-06-07T16:38:25,2021-03-15T19:20:12,,,,TRIPURESWOR,,2024-08-07 05:23:35.904
207654,SINDHUPALCHOWK MEDIA PVT. LTD.,SINDHUPALCHOWK MEDIA PVT. LTD.,PAN188513875,-9853587141,sindhupalchowkmedia799@outlook.com,FA6389229208095535,SINDHUPALCHOWK MEDIA PVT. LTD.,-9853587141,ACTIVE,APPROVED,2021-06-07T12:30:35,1,False,Miscellaneous Outlets,Communication Centre (E.g. Cyber Cafes),Office of Company Register,False,Merchant Default,QR,BULK,Sole Proprietor,1,,Merchant Approved,80,Jeetpur,State-2,Bara,Nijgadh MC,JEETPURSIMARA 03,2021-06-07T12:51:20,,2021-06-07T12:51:20,,,,,,2024-08-07 05:23:35.904
209188,SUNSARI MANUFACTURING LTD.,SUNSARI MANUFACTURING LTD.,PAN596302582,-9875670162,sunsarimanufacturing849@outlook.com,FA3813492651472021,SUNSARI MANUFACTURING LTD.,-9875670162,ACTIVE,APPROVED,2021-06-07T12:55:26,1,False,Retail Outlets,"Grocery & Department Store (E.g. KK Mart, Big ...)",Department of commerce,False,Merchant Default,QR,BULK,Sole Proprietor,1,,Merchant Approved,46,Gaur,State-2,Bara,Nijgadh MC,RAUTAHAT NEPAL,2021-06-07T13:33:45,,2021-06-07T13:33:45,,,,,,2024-08-07 05:23:35.904
151985,SARLAHI ENGINEERING PVT. LTD.,SARLAHI ENGINEERING PVT. LTD.,PAN608705773,-9829816196,sarlahiengineering869@outlook.com,FA6941359367497685,SARLAHI ENGINEERING PVT. LTD.,-9829816196,ACTIVE,APPROVED,2021-02-05T11:28:13,1,False,None,Enterprise,Department of commerce,False,Merchant Default,QR,BULK,Sole Proprietor,1,,Edited Merchant has been approved,05,Ilam,State-1,Ilam,Ilam MC,BARBOTE,2021-02-05T11:50:13,2021-02-11T11:07:05,2021-02-05T11:50:13,,,,ILAM BRANCH,1156/075/076,2024-08-07 05:23:35.904
132456,KANCHANJUNGA LOGISTICS PVT. LTD.,KANCHANJUNGA LOGISTICS PVT. LTD.,PAN668536553,-9899138452,kanchanjungalogistics925@outlook.com,FA3270201392445922,KANCHANJUNGA LOGISTICS PVT. LTD.,-9899138452,ACTIVE,APPROVED,2021-02-04T16:31:39,1,False,Repair Services,Industries,Department of commerce,False,Merchant Default,QR,BULK,Pvt. Ltd,1,,Edited Merchant has been approved,37,Battisputali,State-3,Kathmandu,Kathmandu MP,BATTISPUTALI,2021-02-04T17:20:07,2021-02-08T10:35:08,2021-02-04T17:20:07,,,,Battisputali,191412/74/075,2024-08-07 05:23:35.904
1371827,NEPAL AIRLINES LTD.,NEPAL AIRLINES LTD.,PAN813377590,-9856246804,nepalairlines939@outlook.com,FA8119659000961997,NEPAL AIRLINES LTD.,-9856246804,ACTIVE,APPROVED,2023-11-08T16:44:22,1,True,Government Service,Government Services (Not Elsewhere Classified),Rural/Municipality,False,MERCHANT,QR,,Sole Proprietor,1,,Waiting For Create Approval,74,Baglung,State-4,Baglung,Baglung MC,baglung,2023-11-08T16:49:45,,2023-11-08T16:49:45,SAGARMATHA_PRANAW,,1.0,mail by bishal ba_idhya,,2024-08-07 05:23:35.904
1372361,NEPAL AIRLINES LTD.,NEPAL AIRLINES LTD.,PAN813377590,-9856246804,nepalairlines939@outlook.com,FA2085715034118759,NEPAL AIRLINES LTD.,-9856246804,ACTIVE,APPROVED,2023-11-10T12:20:26,1,True,Government Service,Government Services (Not Elsewhere Classified),Rural/Municipality,False,MERCHANT,QR,,Pvt. Ltd,1,,Waiting For Create Approval,B5,Darchula,State-7,Darchula,Byas RM,darchula,2023-11-17T14:18:56,2023-11-28T12:38:23,2023-11-28T12:39:44,SAGARMATHA_REENA,SAGARMATHA_PRANAW,1.0,mail by chabbi pant,,2024-08-07 05:23:35.904
1375058,NEPAL AIRLINES LTD.,NEPAL AIRLINES LTD.,PAN813377590,-9856246804,nepalairlines939@outlook.com,FA7474483400900345,NEPAL AIRLINES LTD.,-9856246804,ACTIVE,APPROVED,2023-11-27T12:03:31,1,True,Government Service,Government Services (Not Elsewhere Classified),Rural/Municipality,False,MERCHANT,QR,,Public Ltd,1,,Waiting For Create Approval,B4,Bajura,State-7,Bajura,Badimalika MC,BAJURA,2023-11-27T12:04:28,2023-11-28T12:39:16,2023-11-28T12:39:37,SAGARMATHA_REENA,SAGARMATHA_PRANAW,1.0,,,2024-08-07 05:23:35.904
1332961,NEPAL AIRLINES LTD.,NEPAL AIRLINES LTD.,PAN813377590,-9856246804,nepalairlines939@outlook.com,FA6722140254743665,NEPAL AIRLINES LTD.,-9856246804,ACTIVE,APPROVED,2023-09-11T16:34:44,1,False,Government Service,Government Services (Not Elsewhere Classified),Rural/Municipality,False,DEFAULT_PROFILE,QR,BULK,Other,1,,BULK UPLOAD,83,Bardaghat,State-5,Parasi,Bardaghat MC,Parasi,2023-09-12T17:02:13,2023-09-13T09:33:03,2023-09-13T09:33:28,SAGARMATHA_TRIGENDRA,SAGARMATHA_SUSHMA,1.0,67947,,2024-08-07 05:23:35.904
1336233,NEPAL AIRLINES LTD.,NEPAL AIRLINES LTD.,PAN813377590,-9856246804,nepalairlines939@outlook.com,FA6331816547052275,NEPAL AIRLINES LTD.,-9856246804,ACTIVE,APPROVED,2023-09-15T11:13:29,1,False,Government Service,Government Services (Not Elsewhere Classified),Rural/Municipality,False,MERCHANT,QR,,Public Ltd,1,,Waiting For Create Approval,34,Damak,State-1,Jhapa,Damak MC,NAGARPALIKA ROAD,2023-09-15T11:17:47,2023-09-17T11:00:31,2023-09-17T11:00:55,SAGARMATHA_REENA,SAGARMATHA_SUSHMA,1.0,68064,,2024-08-07 05:23:35.904
1349259,NEPAL AIRLINES LTD.,NEPAL AIRLINES LTD.,PAN813377590,-9856246804,nepalairlines939@outlook.com,FA7724894015587081,NEPAL AIRLINES LTD.,-9856246804,ACTIVE,APPROVED,2023-09-26T15:16:32,1,False,Government Service,Government Services (Not Elsewhere Classified),Rural/Municipality,False,MERCHANT,QR,,Public Ltd,1,,Waiting For Create Approval,78,Ph_idim,State-1,Panchthar,Ph_idim MC,Ph_idim,2023-09-26T16:22:08,2023-09-26T16:23:35,2023-09-26T16:24:35,SAGARMATHAA_DEVI,SAGARMATHA_BISHAL,1.0,,,2024-08-07 05:23:35.904
1236923,Mikma Hari Lama,Mikma Hari Lama,PAN106648673,-9854768199,mikma924@gmail.com,FA3354631320292183,Mikma Hari Lama,-9854768199,ACTIVE,APPROVED,2023-06-07T16:15:49,1,False,other,TRADERS,Other,False,DEFAULT_PROFILE,QR,BULK,Sole Proprietor,1,,BULK UPLOAD,38,Dhangadi Chauraha,State-7,Kailali,Bardagoriya RM,DHANGADHI,2023-06-07T16:15:49,,2023-06-07T16:15:49,SYSTEM,,1.0,60225,,2024-08-07 05:23:35.904
1422388,NEPAL AIRLINES LTD.,NEPAL AIRLINES LTD.,PAN813377590,-9856246804,nepalairlines939@outlook.com,FA1033345099266430,NEPAL AIRLINES LTD.,-9856246804,ACTIVE,APPROVED,2024-02-02T11:10:22,1,False,Government Service,Government Services (Not Elsewhere Classified),Rural/Municipality,False,MERCHANT,QR,,Unregistered,1,,Waiting For Create Approval,51,Lamahi,State-5,Dang,Lamahi MC,LAMAHI,2024-02-02T12:00:35,,2024-02-02T12:00:35,SAGARMATHA_POONAM,,0.0,,,2024-08-07 05:23:35.904
187208,KHOTANG FOODS PVT. LTD.,KHOTANG FOODS PVT. LTD.,PAN533918346,-9862720425,khotangfoods840@outlook.com,FA1420124971439178,KHOTANG FOODS PVT. LTD.,-9862720425,ACTIVE,APPROVED,2021-06-02T13:19:27,1,False,Retail Outlets,"Grocery & Department Store (E.g. KK Mart, Big ...)",Department of commerce,False,Merchant Default,QR,BULK,Other,1,,Merchant Approved,D2,Tarahara,State-1,Jhapa,Jhapa RM,KHANAR,2021-06-02T13:31:12,,2021-06-02T13:31:12,,,,,,2024-08-07 05:23:35.904
1058073,ROLPA CONSTRUCTIONS PVT. LTD.,ROLPA CONSTRUCTIONS PVT. LTD.,PAN324979852,-9842730869,rolpaconstructions648@outlook.com,FA3141891666109954,ROLPA CONSTRUCTIONS PVT. LTD.,-9842730869,ACTIVE,APPROVED,2022-11-27T15:33:38,1,False,None,Enterprise,Department of commerce,False,DEFAULT_PROFILE,QR,BULK,Sole Proprietor,1,,BULK UPLOAD,I2,Geetanagar,State-3,Chitwan,Bharatpur MC,Geetanagar,2022-11-27T15:33:38,,2022-11-27T15:33:38,SYSTEM,,1.0,,,2024-08-07 05:23:35.904
1042227,SAGARMATHA TRADERS PVT. LTD.,SAGARMATHA TRADERS PVT. LTD.,PAN606494169,-9848709913,sagarmathatraders388@outlook.com,FA8244589281955200,SAGARMATHA TRADERS PVT. LTD.,-9848709913,ACTIVE,APPROVED,2022-11-09T15:27:17,1,False,Retail Outlets,"Grocery & Department Store (E.g. KK Mart, Big ...)",Department of commerce,False,DEFAULT_PROFILE,QR,BULK,Sole Proprietor,1,,BULK UPLOAD,80,Jeetpur,State-2,Bara,Jitpur Simara Sub MP,Jeetpur,2022-11-09T15:27:17,,2022-11-09T15:27:17,SYSTEM,,1.0,,,2024-08-07 05:23:35.904
680648,Sunanda Bishnu Rai,Sunanda Bishnu Rai,PAN613246502,-9886187930,sunanda615@gmail.com,FA7587884540430954,Sunanda Bishnu Rai,-9886187930,ACTIVE,APPROVED,2022-04-12T17:06:42,1,False,other,TRADERS,Other,False,DEFAULT_PROFILE,QR,BULK,Sole Proprietor,1,,BULK UPLOAD,16,Pokhara,State-4,Kaski,Pokhara Lekhnath MP,MAHENDRAPOOL 4 POKHARA,2022-04-12T17:06:42,,2022-04-12T17:06:42,SYSTEM,,1.0,,,2024-08-07 05:23:35.904
