cif_id,orgkey,cust_first_name,cust_middle_name,cust_last_name,preferredphone,preferredname,preferredemail,email,gender,name,pan
DLNIND4269492,R00580783,sirish,,poudel,9861632577,sirish  poudel,sirish.poudel@dlytica.com,sirish.poudel@dlytica.com,M,sirish  poudel,PAN861110758
DLNIND6686056,R01731860,Hemraj,Bibek,Karki,-9817804873,Hemraj Bibek Karki,maya3k@gmail.com,hemraj119@gmail.com,M,Hemraj Bibek Karki,PAN871531890
DLNIND6852316,R01911519,Sanjita,Dev,Rai,-9863987590,Sanjita Dev Rai,na@nicasiabank.com,sanjita884@gmail.com,M,Sanjita Dev Rai,PAN986235560
DLNLEG9681773,C00004457,TAMOR ELECTRONICS PVT. LTD.,,,-9812774697,KHOTANG FOODS PVT. LTD.,,tamorelectronics865@outlook.com,,TAMOR ELECTRONICS PVT. LTD.,PAN600210736
DLNLEG5022872,C00036463,BIRGUNJ CHEMICALS PVT. LTD.,,,-9893183737,HIMALAYAN CONSULTANCY PVT. LTD.,,birgunjchemicals166@outlook.com,,BIRGUNJ CHEMICALS PVT. LTD.,PAN582125869
DLNIND3257367,R02275983,Aavaas,Ram,Adhikari,-9818969321,Aavaas Ram Adhikari,CHHETRISIRJU1994@GMAIL.COM,aavaas614@gmail.com,M,Aavaas Ram Adhikari,PAN727567807
DLNLEG2266684,R48318099,SAGARMATHA CLOTHING PVT. LTD.,,,-9846899379,SAGARMATHA TRADERS PVT. LTD.,,sagarmathaclothing663@outlook.com,,SAGARMATHA CLOTHING PVT. LTD.,PAN940651973
DLNLEG8360275,C00004455,MANANG HYDROPOWER LTD.,,,-9819245391,SARLAHI ENGINEERING PVT. LTD.,,mananghydropower649@outlook.com,,MANANG HYDROPOWER LTD.,PAN862264521
DLNLEG5047780,C00012403,PHEWA AUTO PARTS PVT. LTD.,,,-9890689627,,,phewaautoparts243@outlook.com,,PHEWA AUTO PARTS PVT. LTD.,PAN321629576
DLNIND6021714,R01786442,Sanju,Shankar,Sharma,-9892948335,Sanju Shankar Sharma,na@nicasiabank.com,sanju935@gmail.com,M,Sanju Shankar Sharma,PAN588289495
DLNIND4071562,R00494090,Nawal,Bhakta,Dahal,-9886178776,Nawal Bhakta Dahal,hemanta.basnet@nicasiabank.com,nawal799@gmail.com,M,Nawal Bhakta Dahal,PAN588972956
DLNLEG1805667,R08272460,PATHIVARA LOGISTICS PVT. LTD.,,,-9847929209,SAGARMATHA CLOTHING PVT. LTD.,,pathivaralogistics755@outlook.com,,PATHIVARA LOGISTICS PVT. LTD.,PAN629114031
DLNIND9898224,R15189814,Srista,Laxmi,Khadka,-9824075114,Srista Laxmi Khadka,,srista573@gmail.com,F,Srista Laxmi Khadka,PAN376421978
DLNLEG8098419,R09403211,PALPA HEALTHCARE PVT. LTD.,,,-9840562262,,,palpahealthcare102@outlook.com,,PALPA HEALTHCARE PVT. LTD.,PAN954062163
DLNIND9084977,R01006372,Sanyukta,Saraswati,Bhattarai,-9870135781,Sanyukta Saraswati Bhattarai,NA@NA.COM,sanyukta684@gmail.com,F,Sanyukta Saraswati Bhattarai,PAN825001101
DLNLEG8507903,R24249553,TANAHUN DIGITAL PVT. LTD.,,,-9836648532,PYUTHAN LOGISTICS PVT. LTD.,,tanahundigital462@outlook.com,,TANAHUN DIGITAL PVT. LTD.,PAN165730705
DLNLEG5063780,R42240201,SHREE KRISHNA FOUNDATION NGO,,,-9872375891,,,shreekrishnafoundationngo395@outlook.com,,SHREE KRISHNA FOUNDATION NGO,PAN642854936
DLNLEG3756805,C00004446,KANCHANJUNGA LOGISTICS PVT. LTD.,,,-9899138452,DLYTICA HOSPITAL PVT. LTD.,,kanchanjungalogistics925@outlook.com,,KANCHANJUNGA LOGISTICS PVT. LTD.,PAN668536553
DLNIND5644007,R00771966,Vawesh,Lal,Bhandari,-9878175981,Vawesh Lal Bhandari,AASTIKKUMARSAH371@GMAIL.COM,vawesh479@gmail.com,M,Vawesh Lal Bhandari,PAN695591077
DLNIND1842225,R01786443,Apekshya,Devi,Thakuri,-9822948106,Apekshya Devi Thakuri,na@nicasiabank.com,apekshya925@gmail.com,F,Apekshya Devi Thakuri,PAN324017723
DLNLEG3169101,R57501498,HIMALAYAN CONSULTANCY PVT. LTD.,,,-9851569905,,,himalayanconsultancy879@outlook.com,,HIMALAYAN CONSULTANCY PVT. LTD.,PAN944763272
DLNIND1138256,R00264434,Kalyan,Gopal,Maharjan,-9817385370,Kalyan Gopal Maharjan,,kalyan791@gmail.com,M,Kalyan Gopal Maharjan,PAN372339539
DLNLEG9444528,C00000865,JAJARKOT DAIRY CO-OP LTD.,,,-9823169413,,,jajarkotdairyco-op855@outlook.com,,JAJARKOT DAIRY CO-OP LTD.,PAN558406246
DLNLEG3194194,RB1499113,SUNSARI DIGITAL PVT. LTD.,,,-9880048648,,,sunsaridigital188@outlook.com,,SUNSARI DIGITAL PVT. LTD.,PAN114592430
DLNIND5013653,R01009724,Mikma,Hari,Lama,-9854768199,Mikma Hari Lama,na@na.com,mikma924@gmail.com,M,Mikma Hari Lama,PAN106648673
DLNLEG5738561,R19041342,BARDIA BUILDERS PVT. LTD.,,,-9845358159,,,bardiabuilders660@outlook.com,,BARDIA BUILDERS PVT. LTD.,PAN183074119
DLNIND7387806,R01901408,Roma,Kumari,Acharya,-9881341883,Roma Kumari Acharya,na@nicasiabank.com,roma402@gmail.com,F,Roma Kumari Acharya,PAN904684013
DLNLEG9966100,C00004439,DLYTICA ACADEMY,,,-9833053483,SYANGJA REAL ESTATE LTD.,,dlyticaacademy500@outlook.com,,DLYTICA ACADEMY,PAN200433423
DLNIND1242207,R01901405,Suhela,Maya,Maharjan,-9828007587,Suhela Maya Maharjan,NA@NICASIABANK.COM,suhela673@gmail.com,F,Suhela Maya Maharjan,PAN173115976
DLNIND1243944,R01660876,Dorkaji,Lal,Thakuri,-9821828814,Dorkaji Lal Thakuri,nisha.khadka@nicasiabank.com,dorkaji631@gmail.com,M,Dorkaji Lal Thakuri,PAN416982678
DLNLEG7793973,C00004445,SYANGJA REAL ESTATE LTD.,,,-9856134921,SINDHUPALCHOWK MEDIA PVT. LTD.,,syangjarealestate603@outlook.com,,SYANGJA REAL ESTATE LTD.,PAN758602904
DLNIND8496642,R01166828,Gambheer,Bipin,Adhikari,-9814921625,Gambheer Bipin Adhikari,MANNURANA975@GMAIL.COM,gambheer838@gmail.com,M,Gambheer Bipin Adhikari,PAN593892274
DLNIND8726228,R00816195,Suk,Bishal,Sharma,-9896202271,Suk Bishal Sharma,,suk997@gmail.com,M,Suk Bishal Sharma,PAN960707979
DLNLEG9864427,R04006533,SOLU HYDROPOWER PVT. LTD.,,,-9833440065,,,soluhydropower521@outlook.com,,SOLU HYDROPOWER PVT. LTD.,PAN612584594
DLNIND6943934,R01007045,Kabita,,Bhattarai,9866180896,Kabita  Bhattarai,kabita.bhattarai@dlytica.com,kabita.bhattarai@dlytica.com,F,Kabita  Bhattarai,PAN733986970
DLNIND6782843,R01901391,Bhawna,Saraswati,Rana,-9838770394,Bhawna Saraswati Rana,NA@NICASIABANK.COM,bhawna223@gmail.com,F,Bhawna Saraswati Rana,PAN696296726
DLNIND8738953,R36283925,Sahil,Bahadur,Yadav,-9868730212,Sahil Bahadur Yadav,s.ambika@hotmail.com,sahil687@gmail.com,M,Sahil Bahadur Yadav,PAN401676066
DLNIND4263447,R09396490,sandal,,Tandukar,9861396794,sandal  Tandukar,sandil.tandukar@dlytica.com,sandil.tandukar@dlytica.com,M,sandal  Tandukar,PAN602858021
DLNIND9611726,R00960980,Dipika,Saraswati,Adhikari,-9812702706,Dipika Saraswati Adhikari,yadavsrijana7@gmail.com,dipika756@gmail.com,F,Dipika Saraswati Adhikari,PAN153589712
DLNLEG5604950,R22133473,JUMLA FOOD PRODUCTS PVT. LTD.,,,-9855214755,,,jumlafoodproducts402@outlook.com,,JUMLA FOOD PRODUCTS PVT. LTD.,PAN795534455
DLNLEG3348092,R39227100,ANNAPURNA HOTELS LTD.,,,-9861262240,,,annapurnahotels223@outlook.com,,ANNAPURNA HOTELS LTD.,PAN536374133
DLNLEG7366525,R52273477,BARDIYA SECURITY PVT. LTD.,,,-9845254640,SYANGJA FOOTWEAR PVT. LTD.,,bardiyasecurity305@outlook.com,,BARDIYA SECURITY PVT. LTD.,PAN549095519
DLNLEG3286748,R02103112,MYAGDI ENTERPRISES LTD.,,,-9822226101,,,myagdienterprises905@outlook.com,,MYAGDI ENTERPRISES LTD.,PAN903432729
DLNLEG2990042,C00004460,SARLAHI ENGINEERING PVT. LTD.,,,-9829816196,ROLPA CONSTRUCTIONS PVT. LTD.,,sarlahiengineering869@outlook.com,,SARLAHI ENGINEERING PVT. LTD.,PAN608705773
DLNLEG8246037,C00004452,DLYTICA HOSPITAL PVT. LTD.,,,-9878494777,PALPA PHARMACEUTICALS PVT. LTD.,,dlyticahospital731@outlook.com,,DLYTICA HOSPITAL PVT. LTD.,PAN888268690
DLNLEG9749078,C00004456,NEPAL HERITAGE TOURS PVT. LTD.,,,-9868907755,BARDIYA SECURITY PVT. LTD.,,nepalheritagetours236@outlook.com,,NEPAL HERITAGE TOURS PVT. LTD.,PAN269568742
DLNLEG6450861,J00518347,MUSTANG CARPENTRY PVT. LTD.,,,-9880775176,SUNSARI DIGITAL PVT. LTD.,,mustangcarpentry759@outlook.com,,MUSTANG CARPENTRY PVT. LTD.,PAN747791463
DLNIND8257521,R01131729,Juna,Saraswati,Neupane,-9821330404,Juna Saraswati Neupane,BISHNUTIMSINA53@GMAIL.COM,juna803@gmail.com,F,Juna Saraswati Neupane,PAN873721196
DLNIND6665024,R47430440,Smeeta,Devi,Lama,-9894692068,Smeeta Devi Lama,,smeeta447@gmail.com,F,Smeeta Devi Lama,PAN646056144
DLNLEG9678391,R22132679,MANANG HOSPITALITY PVT. LTD.,,,-9885897481,KAILASH PRINTING PRESS PVT. LTD.,,mananghospitality262@outlook.com,,MANANG HOSPITALITY PVT. LTD.,PAN432548863
DLNLEG4016980,C00004453,PALPA PHARMACEUTICALS PVT. LTD.,,,-9872632610,LUMBINI TRAVELS PVT. LTD.,,palpapharmaceuticals564@outlook.com,,PALPA PHARMACEUTICALS PVT. LTD.,PAN608753570
DLNIND8690282,R00625845,Ronika,Devi,Rai,-9854650440,Ronika Devi Rai,,ronika219@gmail.com,F,Ronika Devi Rai,PAN234402002
DLNLEG9334212,R32157797,LUMBINI TRAVELS PVT. LTD.,,,-9858186332,PALPA HEALTHCARE PVT. LTD.,,lumbinitravels925@outlook.com,,LUMBINI TRAVELS PVT. LTD.,PAN353089449
DLNIND3694466,R30102616,Neeti,Saraswati,Limbu,-9881494422,Neeti Saraswati Limbu,NARAYANI.SHRESTHA@NICBANK.COM.NP,neeti318@gmail.com,F,Neeti Saraswati Limbu,PAN996196919
DLNLEG7265178,800520784,SINDHUPALCHOWK MEDIA PVT. LTD.,,,-9853587141,NEPAL HERITAGE TOURS PVT. LTD.,,sindhupalchowkmedia799@outlook.com,,SINDHUPALCHOWK MEDIA PVT. LTD.,PAN188513875
